BRICKS ‘R’ US PRODUCT NAME,DIMENSIONS IN mm,APPROXIMATE WEIGHT IN KGs,NUMBER PER METER / SQUARE METER,GENERAL APPLICATION
Block M4,90x190x390 mm,20,10,Walls / Houses
Block M6,140x190x390 mm,24,10,Walls / Houses
Block M9,190x190x390 mm,33,10,Walls / Houses
Breeze Block,100X300X300MM,10,16,Aerated Rooms
Retaining Wall Block,340x220x450 mm,28,Varies,Retaining Slopes
Solid Common Brick,73x105x220 mm,3.5,50,Inside & Outside walls
3 Hole Common Brick,73x105x220 mm,3,50,Inside & Outside walls
Split Face Brick,73x105x220 mm,3.5,50,Inside & Outside walls
Double Diamond Face Brick,73x105x220 mm,3.5,50,Inside & Outside walls
Single Diamond Face Brick,73x105x220 mm,3.5,50,Inside & Outside walls
Interlocking Paver,80x100x200 mm,3.5,50,Industrial Paving / Roads
Interlocking Paver,60x100x200 mm,2.6,50,Domestic Paving / Parking Lots
Rectangular Paver,60x100x200 mm,2.6,50,Domestic Paving / Parking Lots
Dog Bone Paver,60x100x200mm,2.6,50,Domestic Paving / Parking Lots
Bone Paver,60x100x200mm,2.6,50,Domestic Paving / Parking Lots
Round Round Dumble Paver,60X450X210,3.5,42,Domestic Paving / Parking Lots
Z - Shape Paver,60x100x200mm,2.6,42,Domestic Paving / Parking Lots
Hexagon Paver,60x80x160mm,2.15,62,Domestic Paving / Parking Lots
Clover Paver,60x80x160mm,2.15,62,Domestic Paving / Parking Lots
Star Paver,60X100X200mm,2.6,50,Domestic Paving / Parking Lots
Keystone Paver,230x140/90mm,3.5,39,Domestic Paving / Parking Lots
Rectangular Paver,50X100X200mm,2.15,50,Domestic Paving / Parking Lots
Split Rectangular,60x100x200mm,2.6,,
Paving Slabs,450x450x50 mm,23,4,Patios / Pathways / Skirting
Industrial Kerbstones,95x300x900mm,90,1,Kerbing / rollover / edging
Domestic Kerbstones,150x300x900mm,45,1,Kerbing / rollover / edging
Garden Edges,80X200X440MM,23,2,Driveway Edging
Wall Copings,70x350x600mm,23,1.6,Perimeter walls
Column Capings,60x500x500mm,50,1,Perimeter Wall Columns
Flower Pots / Vases,Various,Varies,N/A,Decorative
Pillars and Columns,Various,Varies,N/A,Non structural / decorative
Bird Baths,Various,Varies,N/A,Decorative
Garden Statues,Various,Varies,N/A,Decorative
Garden Furniture,Various,Varies,N/A,Decorative / furniture
Water Features,Various,Varies,N/A,Decorative
